Plot Title: Injection_Temp_xn10_2022-07-01,,,,
#,"Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 11016513, SEN S/N: 11016513)","Temp, °C (LGR S/N: 11016513, SEN S/N: 11016513)",Coupler Detached (LGR S/N: 11016513)
454,7/1/2022 10:30,69.267,7.179,
455,7/1/2022 10:30,69.257,7.179,
456,7/1/2022 10:30,69.267,7.179,
457,7/1/2022 10:31,69.267,7.179,
458,7/1/2022 10:31,69.267,7.179,
459,7/1/2022 10:31,69.277,7.179,
460,7/1/2022 10:31,69.267,7.179,
461,7/1/2022 10:31,69.277,7.179,
462,7/1/2022 10:31,69.267,7.179,
463,7/1/2022 10:32,69.267,7.179,
464,7/1/2022 10:32,69.277,7.179,
465,7/1/2022 10:32,69.267,7.179,
466,7/1/2022 10:32,69.267,7.179,
467,7/1/2022 10:32,69.267,7.179,
468,7/1/2022 10:32,69.267,7.179,
469,7/1/2022 10:33,69.267,7.179,
470,7/1/2022 10:33,69.277,7.179,
471,7/1/2022 10:33,69.267,7.179,
472,7/1/2022 10:33,69.277,7.179,
473,7/1/2022 10:33,69.277,7.179,
474,7/1/2022 10:33,69.267,7.179,
475,7/1/2022 10:34,69.277,7.179,
476,7/1/2022 10:34,69.277,7.179,
477,7/1/2022 10:34,69.267,7.179,
478,7/1/2022 10:34,69.267,7.179,
479,7/1/2022 10:34,69.267,7.179,
480,7/1/2022 10:34,69.277,7.179,
481,7/1/2022 10:35,69.277,7.179,
482,7/1/2022 10:35,69.287,7.179,
483,7/1/2022 10:35,69.28,7.28,
484,7/1/2022 10:35,69.28,7.28,
485,7/1/2022 10:35,69.27,7.28,
486,7/1/2022 10:35,69.27,7.28,
487,7/1/2022 10:36,69.28,7.28,
488,7/1/2022 10:36,69.28,7.28,
489,7/1/2022 10:36,69.27,7.28,
490,7/1/2022 10:36,69.28,7.28,
491,7/1/2022 10:36,69.27,7.28,
492,7/1/2022 10:36,69.27,7.28,
493,7/1/2022 10:37,69.27,7.28,
494,7/1/2022 10:37,69.27,7.28,
495,7/1/2022 10:37,69.27,7.28,
496,7/1/2022 10:37,69.28,7.28,
497,7/1/2022 10:37,69.28,7.28,
498,7/1/2022 10:37,69.28,7.28,
499,7/1/2022 10:38,69.27,7.28,
500,7/1/2022 10:38,69.28,7.28,
501,7/1/2022 10:38,69.28,7.28,
502,7/1/2022 10:38,69.28,7.28,
503,7/1/2022 10:38,69.28,7.28,
504,7/1/2022 10:38,69.27,7.28,
505,7/1/2022 10:39,69.28,7.28,
506,7/1/2022 10:39,69.27,7.28,
507,7/1/2022 10:39,69.28,7.28,
508,7/1/2022 10:39,69.27,7.28,
509,7/1/2022 10:39,69.29,7.28,
510,7/1/2022 10:39,69.28,7.28,
511,7/1/2022 10:40,69.27,7.28,
512,7/1/2022 10:40,69.273,7.381,
513,7/1/2022 10:40,69.273,7.381,
514,7/1/2022 10:40,69.273,7.381,
515,7/1/2022 10:40,69.273,7.381,
516,7/1/2022 10:40,69.283,7.381,
517,7/1/2022 10:41,69.283,7.381,
518,7/1/2022 10:41,69.283,7.381,
519,7/1/2022 10:41,69.273,7.381,
520,7/1/2022 10:41,69.283,7.381,
521,7/1/2022 10:41,69.283,7.381,
522,7/1/2022 10:41,69.283,7.381,
523,7/1/2022 10:42,69.283,7.381,
524,7/1/2022 10:42,69.283,7.381,
525,7/1/2022 10:42,69.283,7.381,
526,7/1/2022 10:42,69.293,7.381,
527,7/1/2022 10:42,69.273,7.381,
528,7/1/2022 10:42,69.283,7.381,
529,7/1/2022 10:43,69.273,7.381,
530,7/1/2022 10:43,69.273,7.381,
531,7/1/2022 10:43,69.263,7.381,
532,7/1/2022 10:43,69.273,7.381,
533,7/1/2022 10:43,69.273,7.381,
534,7/1/2022 10:43,69.283,7.381,
535,7/1/2022 10:44,69.273,7.381,
536,7/1/2022 10:44,69.273,7.381,
537,7/1/2022 10:44,69.273,7.381,
538,7/1/2022 10:44,69.273,7.381,
539,7/1/2022 10:44,69.263,7.381,
540,7/1/2022 10:44,69.283,7.381,
541,7/1/2022 10:45,69.273,7.381,
542,7/1/2022 10:45,69.263,7.381,
543,7/1/2022 10:45,69.273,7.381,
544,7/1/2022 10:45,69.263,7.381,
545,7/1/2022 10:45,69.273,7.381,
546,7/1/2022 10:45,69.276,7.481,
547,7/1/2022 10:46,69.266,7.481,
548,7/1/2022 10:46,69.286,7.481,
549,7/1/2022 10:46,69.286,7.481,
550,7/1/2022 10:46,69.296,7.481,
551,7/1/2022 10:46,69.286,7.481,
552,7/1/2022 10:46,69.286,7.481,
553,7/1/2022 10:47,69.286,7.481,
554,7/1/2022 10:47,69.286,7.481,
555,7/1/2022 10:47,69.286,7.481,
556,7/1/2022 10:47,69.286,7.481,
557,7/1/2022 10:47,69.286,7.481,
558,7/1/2022 10:47,69.286,7.481,
559,7/1/2022 10:48,69.296,7.481,
560,7/1/2022 10:48,69.296,7.481,
561,7/1/2022 10:48,69.286,7.481,
562,7/1/2022 10:48,69.286,7.481,
563,7/1/2022 10:48,69.286,7.481,
564,7/1/2022 10:48,69.276,7.481,
565,7/1/2022 10:49,69.276,7.481,
566,7/1/2022 10:49,69.266,7.481,
567,7/1/2022 10:49,69.286,7.481,
568,7/1/2022 10:49,69.286,7.481,
569,7/1/2022 10:49,69.276,7.481,
570,7/1/2022 10:49,69.266,7.481,
571,7/1/2022 10:50,69.276,7.481,
572,7/1/2022 10:50,69.276,7.481,
573,7/1/2022 10:50,69.266,7.481,
574,7/1/2022 10:50,69.266,7.481,
575,7/1/2022 10:50,69.276,7.481,
576,7/1/2022 10:50,69.266,7.481,
577,7/1/2022 10:51,69.276,7.481,
578,7/1/2022 10:51,69.266,7.481,
579,7/1/2022 10:51,69.266,7.481,
580,7/1/2022 10:51,69.276,7.481,
581,7/1/2022 10:51,69.276,7.481,
582,7/1/2022 10:51,69.266,7.481,
583,7/1/2022 10:52,69.276,7.481,
584,7/1/2022 10:52,69.266,7.481,
585,7/1/2022 10:52,69.286,7.481,
586,7/1/2022 10:52,69.276,7.481,
587,7/1/2022 10:52,69.286,7.481,
588,7/1/2022 10:52,69.276,7.481,
589,7/1/2022 10:53,69.276,7.481,
590,7/1/2022 10:53,69.276,7.481,
591,7/1/2022 10:53,69.276,7.481,
592,7/1/2022 10:53,69.266,7.481,
593,7/1/2022 10:53,69.276,7.481,
594,7/1/2022 10:53,69.276,7.481,
595,7/1/2022 10:54,69.276,7.481,
596,7/1/2022 10:54,69.266,7.481,
597,7/1/2022 10:54,69.266,7.481,
598,7/1/2022 10:54,69.276,7.481,
599,7/1/2022 10:54,69.276,7.481,
600,7/1/2022 10:54,69.266,7.481,
601,7/1/2022 10:55,69.286,7.481,
602,7/1/2022 10:55,69.255,7.481,
603,7/1/2022 10:55,69.276,7.481,
604,7/1/2022 10:55,69.266,7.481,
605,7/1/2022 10:55,69.276,7.481,
