Serial_number:
2020421
Project ID:

Location:

Station01
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Station01,TEMPERATURE
6/3/2022,06:45:00 pm,0,63.8356,8.467
6/3/2022,07:00:00 pm,0,63.8369,8.417
6/3/2022,07:15:00 pm,0,63.8419,8.382
6/3/2022,07:30:00 pm,0,63.8489,8.313
6/3/2022,07:45:00 pm,0,63.8504,8.273
6/3/2022,08:00:00 pm,0,63.8648,8.225
6/3/2022,08:15:00 pm,0,63.8742,8.181
6/3/2022,08:30:00 pm,0,63.8892,8.156
6/3/2022,08:45:00 pm,0,63.9028,8.118
6/3/2022,09:00:00 pm,0,63.9161,8.068
6/3/2022,09:15:00 pm,0,63.9228,8.013
6/3/2022,09:30:00 pm,0,63.9278,7.969
6/3/2022,09:45:00 pm,0,63.9335,7.927
6/3/2022,10:00:00 pm,0,63.9407,7.902
6/3/2022,10:15:00 pm,0,63.9439,7.871
6/3/2022,10:30:00 pm,0,63.9547,7.853
6/3/2022,10:45:00 pm,0,63.9607,7.837
6/3/2022,11:00:00 pm,0,63.9665,7.811
6/3/2022,11:15:00 pm,0,63.9734,7.792
6/3/2022,11:30:00 pm,0,63.9857,7.775
6/3/2022,11:45:00 pm,0,63.9913,7.752
6/4/2022,12:00:00 am,0,64.0089,7.746
6/4/2022,12:15:00 am,0,64.0053,7.703
6/4/2022,12:30:00 am,0,64.0070,7.659
6/4/2022,12:45:00 am,0,64.0021,7.616
6/4/2022,01:00:00 am,0,63.9971,7.551
6/4/2022,01:15:00 am,0,63.9981,7.489
6/4/2022,01:30:00 am,0,64.0001,7.417
6/4/2022,01:45:00 am,0,64.0056,7.328
6/4/2022,02:00:00 am,0,64.0135,7.214
6/4/2022,02:15:00 am,0,64.0112,7.005
6/4/2022,02:30:00 am,0,64.0121,6.904
6/4/2022,02:45:00 am,0,64.0096,6.804
6/4/2022,03:00:00 am,0,64.0061,6.763
6/4/2022,03:15:00 am,0,63.9995,6.676
6/4/2022,03:30:00 am,0,63.9891,6.615
6/4/2022,03:45:00 am,0,63.9871,6.568
6/4/2022,04:00:00 am,0,63.9908,6.540
6/4/2022,04:15:00 am,0,63.9996,6.513
6/4/2022,04:30:00 am,0,63.9985,6.503
6/4/2022,04:45:00 am,0,63.9982,6.496
6/4/2022,05:00:00 am,0,64.0014,6.476
6/4/2022,05:15:00 am,0,63.9975,6.466
6/4/2022,05:30:00 am,0,63.9990,6.455
6/4/2022,05:45:00 am,0,64.0054,6.442
6/4/2022,06:00:00 am,0,64.0078,6.426
6/4/2022,06:15:00 am,0,64.0077,6.421
6/4/2022,06:30:00 am,0,64.0044,6.411
6/4/2022,06:45:00 am,0,64.0049,6.405
6/4/2022,07:00:00 am,0,64.0151,6.401
6/4/2022,07:15:00 am,0,64.0253,6.412
6/4/2022,07:30:00 am,0,64.0391,6.430
6/4/2022,07:45:00 am,0,64.0563,6.466
6/4/2022,08:00:00 am,0,64.0776,6.502
6/4/2022,08:15:00 am,0,64.0931,6.584
6/4/2022,08:30:00 am,0,64.1174,6.775
6/4/2022,08:45:00 am,0,64.1450,6.962
6/4/2022,09:00:00 am,0,64.1698,7.212
6/4/2022,09:15:00 am,0,64.1790,7.374
6/4/2022,09:30:00 am,0,64.1892,7.546
6/4/2022,09:45:00 am,0,64.2105,7.826
6/4/2022,10:00:00 am,0,64.2217,8.198
6/4/2022,10:15:00 am,0,64.2222,8.473
6/4/2022,10:30:00 am,0,64.2016,8.400
6/4/2022,10:45:00 am,0,64.1881,8.280
6/4/2022,11:00:00 am,0,64.1626,8.161
6/4/2022,11:15:00 am,0,64.1416,8.095
6/4/2022,11:30:00 am,0,64.1323,8.137
6/4/2022,11:45:00 am,0,64.1269,8.217
6/4/2022,12:00:00 pm,0,64.1182,8.220
6/4/2022,12:15:00 pm,0,64.1041,7.871
6/4/2022,12:30:00 pm,0,64.1150,7.886
6/4/2022,12:45:00 pm,0,64.1309,7.982
6/4/2022,01:00:00 pm,0,64.1251,7.974
6/4/2022,01:15:00 pm,0,64.1347,7.975
6/4/2022,01:30:00 pm,0,64.1645,8.251
6/4/2022,01:45:00 pm,0,64.1876,8.583
6/4/2022,02:00:00 pm,0,64.1953,8.879
6/4/2022,02:15:00 pm,0,64.2006,9.122
6/4/2022,02:30:00 pm,0,64.1766,9.173
6/4/2022,02:45:00 pm,0,64.1650,9.168
6/4/2022,03:00:00 pm,0,64.1574,9.254
6/4/2022,03:15:00 pm,0,64.1509,9.357
6/4/2022,03:30:00 pm,0,64.1460,9.493
6/4/2022,03:45:00 pm,0,64.1405,9.604
6/4/2022,04:00:00 pm,0,64.1294,9.745
6/4/2022,04:15:00 pm,0,64.1276,9.721
6/4/2022,04:30:00 pm,0,64.1155,9.551
6/4/2022,04:45:00 pm,0,64.1021,9.353
6/4/2022,05:00:00 pm,0,64.0720,9.151
6/4/2022,05:15:00 pm,0,64.0596,8.920
6/4/2022,05:30:00 pm,0,64.0607,8.779
6/4/2022,05:45:00 pm,0,64.0632,8.655
6/4/2022,06:00:00 pm,0,64.0822,8.549
6/4/2022,06:15:00 pm,0,64.0846,8.437
6/4/2022,06:30:00 pm,0,64.0870,8.320
6/4/2022,06:45:00 pm,0,64.0895,8.222
6/4/2022,07:00:00 pm,0,64.0893,8.155
6/4/2022,07:15:00 pm,0,64.0992,8.094
6/4/2022,07:30:00 pm,0,64.1043,8.000
6/4/2022,07:45:00 pm,0,64.1211,7.932
